iter	Passed	Remaining
0	37	37810
1	59	29717
2	79	26514
3	98	24410
4	115	23057
5	134	22245
6	154	21859
7	173	21463
8	192	21239
9	215	21373
10	237	21315
11	257	21215
12	279	21223
13	300	21164
14	319	21005
15	339	20900
16	358	20711
17	375	20475
18	394	20369
19	421	20639
20	443	20671
21	461	20500
22	477	20302
23	495	20134
24	513	20026
25	530	19890
26	550	19835
27	568	19746
28	588	19718
29	609	19709
30	637	19927
31	656	19870
32	675	19790
33	695	19753
34	711	19630
35	730	19552
36	749	19507
37	767	19420
38	784	19342
39	803	19273
40	824	19275
41	847	19334
42	866	19291
43	886	19266
44	909	19301
45	928	19256
46	950	19270
47	969	19224
48	988	19187
49	1006	19119
50	1026	19102
51	1060	19332
52	1082	19337
53	1102	19321
54	1127	19373
55	1150	19386
56	1168	19336
57	1188	19304
58	1208	19268
59	1236	19372
60	1267	19507
61	1289	19505
62	1309	19481
63	1330	19465
64	1350	19421
65	1371	19402
66	1392	19395
67	1415	19393
68	1440	19431
69	1468	19504
70	1492	19522
71	1511	19482
72	1535	19495
73	1562	19550
74	1592	19643
75	1634	19868
76	1673	20057
77	1706	20166
78	1749	20395
79	1775	20413
80	1800	20428
81	1831	20501
82	1855	20497
83	1880	20509
84	1910	20561
85	1932	20539
86	1954	20508
87	1975	20473
88	1994	20415
89	2016	20394
90	2036	20340
91	2056	20301
92	2076	20253
93	2101	20257
94	2125	20247
95	2149	20240
96	2171	20211
97	2191	20166
98	2211	20127
99	2232	20092
100	2254	20065
101	2276	20042
102	2300	20038
103	2335	20117
104	2372	20223
105	2400	20243
106	2422	20213
107	2442	20170
108	2463	20139
109	2484	20098
110	2504	20056
111	2532	20075
112	2571	20187
113	2593	20158
114	2614	20121
115	2637	20098
116	2659	20070
117	2681	20039
118	2700	19992
119	2730	20025
120	2753	19999
121	2777	19991
122	2797	19945
123	2817	19907
124	2839	19876
125	2862	19854
126	2881	19808
127	2902	19772
128	2921	19722
129	2943	19697
130	2970	19702
131	2992	19678
132	3015	19658
133	3064	19806
134	3107	19911
135	3147	19993
136	3212	20239
137	3241	20246
138	3265	20225
139	3289	20207
140	3313	20188
141	3340	20181
142	3386	20295
143	3407	20258
144	3428	20216
145	3448	20171
146	3469	20130
147	3489	20086
148	3510	20048
149	3532	20017
150	3552	19976
151	3573	19935
152	3595	19904
153	3627	19929
154	3653	19915
155	3674	19877
156	3694	19835
157	3716	19803
158	3737	19770
159	3764	19762
160	3786	19734
161	3810	19712
162	3893	19990
163	3929	20033
164	3966	20074
165	3990	20046
166	4011	20011
167	4039	20005
168	4065	19989
169	4087	19956
170	4105	19904
171	4127	19867
172	4147	19827
173	4166	19776
174	4184	19725
175	4203	19680
176	4225	19647
177	4255	19652
178	4276	19616
179	4295	19568
180	4314	19522
181	4333	19476
182	4355	19445
183	4375	19405
184	4394	19359
185	4413	19314
186	4438	19295
187	4469	19304
188	4494	19287
189	4516	19253
190	4539	19225
191	4559	19187
192	4579	19146
193	4598	19106
194	4616	19058
195	4634	19012
196	4662	19003
197	4689	18993
198	4713	18973
199	4734	18937
200	4754	18898
201	4776	18869
202	4798	18837
203	4820	18808
204	4840	18772
205	4863	18747
206	4893	18745
207	4915	18715
208	4938	18690
209	4962	18668
210	4984	18638
211	5005	18605
212	5024	18565
213	5044	18527
214	5063	18486
215	5088	18470
216	5119	18473
217	5139	18435
218	5158	18397
219	5178	18359
220	5195	18315
221	5214	18274
